n,flops_count,avg_time(s),flops_per_sec
2,24,0.000001404100000,17092800
3,72,0.000001266600000,56845097
4,160,0.000001804200000,88681964
5,300,0.000002346200000,127866337
6,504,0.000003095800000,162801215
7,784,0.000004287700000,182848613
8,1152,0.000005646000000,204038257
9,1620,0.000006520900000,248431965
10,2200,0.000009021000000,243875402
11,2904,0.000010808400000,268679916
12,3744,0.000012687600000,295091270
13,4732,0.000015279200000,309702079
14,5880,0.000018004300000,326588648
15,7200,0.000021166800000,340155338
16,8704,0.000024658400000,352983162
17,10404,0.000028708200000,362405166
18,12312,0.000033020800000,372855897
19,14440,0.000037858600000,381419281
20,16800,0.000043200000000,388888889
21,19404,0.000048825100000,397418541
22,22264,0.000055175100000,403515354
23,25392,0.000061995800000,409576133
24,28800,0.000069233500000,415983592
25,32500,0.000077024900000,421941476
26,36504,0.000089445600000,408113982
27,40824,0.000092149800000,443017782
28,45472,0.000102370700000,444189597
29,50460,0.000117904000000,427975302
30,55800,0.000134579200000,414625737
31,61504,0.000143708400000,427977766
32,67584,0.000156708400000,431272350
33,74052,0.000163208200000,453727202
34,80920,0.000175187500000,461905102
35,88200,0.000191716800000,460053579
36,95904,0.000221016600000,433922158
37,104044,0.000227441700000,457453492
38,112632,0.000244604100000,460466525
39,121680,0.000267437500000,454984810
40,131200,0.000286558200000,457847655
41,141204,0.000303566400000,465150293
42,151704,0.000322291500000,470704316
43,162712,0.000364837400000,445984979
44,174240,0.000373958500000,465934054
45,186300,0.000398366600000,467659688
46,198904,0.000421450100000,471951484
47,212064,0.000440545700000,481366632
48,225792,0.000470450100000,479948883
49,240100,0.000524566600000,457711185
50,255000,0.000535270700000,476394467
51,270504,0.000561716900000,481566426
52,286624,0.000595629000000,481212298
53,303372,0.000624920800000,485456717
54,320760,0.000654521000000,490068309
55,338800,0.000701112500000,483232006
56,357504,0.000731987700000,488401649
57,376884,0.000790874800000,476540661
58,396952,0.000823049900000,482293965
59,417720,0.000859016500000,486277039
60,439200,0.000879458400000,499398266
61,461404,0.000945633300000,487931210
62,484344,0.000977604100000,495439821
63,508032,0.001032475000000,492052592
64,532480,0.001088937500000,488990415
65,557700,0.001130916700000,493139769
66,583704,0.001177812500000,495583125
67,610504,0.001208995700000,504967884
68,638112,0.001260445600000,506259056
69,666540,0.001349508200000,493913264
70,695800,0.001412741700000,492517493
71,725904,0.001459929600000,497218496
72,756864,0.001515520700000,499408553
73,788692,0.001615895900000,488083422
74,821400,0.001645820800000,499082282
75,855000,0.001712395900000,499300425
76,889504,0.001792008100000,496372756
77,924924,0.001870295900000,494533512
78,961272,0.001930237700000,498007059
79,998560,0.001985095800000,503028620
80,1036800,0.002093820700000,495171339
81,1076004,0.002156145900000,499040441
82,1116184,0.002245250000000,497131277
83,1157352,0.002297641600000,503713025
84,1199520,0.002402258200000,499330172
85,1242700,0.002469920900000,503133521
86,1286904,0.002557587700000,503171015
87,1332144,0.002703437400000,492759329
88,1378432,0.002741137400000,502868627
89,1425780,0.002871858300000,496465999
90,1474200,0.002953549900000,499128185
91,1523704,0.003027908300000,503219995
92,1574304,0.003073308300000,512250593
93,1626012,0.003128429100000,519753508
94,1678840,0.003247058300000,517034141
95,1732800,0.003373775200000,513608613
96,1787904,0.003562204400000,501909436
97,1844164,0.003644212500000,506052817
98,1901592,0.003806562400000,499556240
99,1960200,0.003952033300000,495997845
100,2020000,0.004056104200000,498014819
101,2081004,0.004130958400000,503758159
102,2143224,0.004198912600000,510423580
103,2206672,0.004394866600000,502102157
104,2271360,0.004467754200000,508389651
105,2337300,0.004606137600000,507431649
106,2404504,0.004762120800000,504922933
107,2472984,0.006007187600000,411670846
108,2542752,0.005068033400000,501723607
109,2613820,0.005171741700000,505404205
110,2686200,0.005291258200000,507667534
111,2759904,0.005437499800000,507568570
112,2834944,0.005647120900000,502015815
113,2911332,0.005677845800000,512752918
114,2989080,0.005860416900000,510045625
115,3068200,0.006059800000000,506320341
116,3148704,0.006268637400000,502294805
117,3230604,0.006423808300000,502911022
118,3313912,0.006520225000000,508251172
119,3398640,0.006618554200000,513501876
120,3484800,0.006702200000000,519948674
121,3572404,0.006908541600000,517099586
122,3661464,0.007012750000000,522115290
123,3751992,0.007180704300000,522510306
124,3844000,0.007388554100000,520264175
125,3937500,0.007503983400000,524721310
126,4032504,0.007690487600000,524349587
127,4129024,0.008092833100000,510207482
128,4227072,0.008309804100000,508684916
129,4326660,0.008244012400000,524824538
130,4427800,0.008473437500000,522550618
131,4530504,0.008688333200000,521446852
132,4634784,0.008842699900000,524136751
133,4740652,0.009071279100000,522600170
134,4848120,0.009277174900000,522585814
135,4957200,0.009481483300000,522829587
136,5067904,0.009692724900000,522856478
137,5180244,0.010050295800000,515431994
138,5294232,0.010274216900000,515292995
139,5409880,0.010345075100000,522942555
140,5527200,0.010621491500000,520378894
141,5646204,0.010850054100000,520384871
142,5766904,0.011078704200000,520539577
143,5889312,0.011485312700000,512768973
144,6013440,0.013972549900000,430375275
145,6139300,0.011787199900000,520844649
146,6266904,0.012097474800000,518034061
147,6396264,0.012395829200000,516001301
148,6527392,0.012655475000000,515776136
149,6660300,0.012966333300000,513661021
150,6795000,0.013387962600000,507545487
151,6931504,0.013487375100000,513925352
152,7069824,0.014569470800000,485249197
153,7209972,0.014002971000000,514888733
154,7351960,0.014318283200000,513466587
155,7495800,0.014627045900000,512461645
156,7641504,0.015241533500000,501360575
157,7789084,0.015198137500000,512502535
158,7938552,0.015423858500000,514693000
159,8089920,0.016041966600000,504297272
160,8243200,0.015977700100000,515919059
161,8398404,0.016816229100000,499422549
162,8555544,0.016533991600000,517451817
163,8714632,0.016665658200000,522909560
164,8875680,0.017361979200000,511213606
165,9038700,0.017752500200000,509150818
166,9203704,0.017866796000000,515128958
167,9370704,0.018958362500000,494278132
168,9539712,0.018514866500000,515246059
169,9710740,0.019407283300000,500365757
170,9883800,0.019464387400000,507788907
171,10058904,0.019593570600000,513377791
172,10236064,0.021199383300000,482847253
173,10415292,0.021112179200000,493330977
174,10596600,0.020312033400000,521690753
175,10780000,0.020707908300000,520574065
176,10965504,0.021422158200000,511876717
177,11153124,0.022004345700000,506860061
178,11342872,0.022451387400000,505219201
179,11534760,0.022958712600000,502413188
180,11728800,0.022975154200000,510499294
181,11925004,0.023805925000000,500925883
182,12123384,0.023728095900000,510929493
183,12323952,0.024412741500000,504816389
184,12526720,0.024600129200000,509213586
185,12731700,0.024955183400000,510182586
186,12938904,0.025855920800000,500423253
187,13148344,0.025852537700000,508590072
188,13360032,0.033847062500000,394717621
189,13573980,0.026048995800000,521094176
190,13790200,0.027606487700000,499527508
191,14008704,0.028275704100000,495432543
192,14229504,0.028466650100000,499865771
193,14452612,0.030952366700000,466930757
194,14678040,0.030838958500000,475957708
195,14905800,0.031580020800000,472000956
196,15135904,0.032118075000000,471258131
197,15368364,0.031419033400000,489141846
198,15603192,0.032761533300000,476265621
199,15840400,0.033475012600000,473200718
200,16080000,0.033661375000000,477698846
201,16322004,0.034299462500000,475867632
202,16566424,0.034039825200000,486677705
203,16813272,0.034721208400000,484236372
204,17062560,0.036329804000000,469657365
205,17314300,0.036373129200000,476018984
206,17568504,0.037437745900000,469272484
207,17825184,0.038900699900000,458222707
208,18084352,0.037912866600000,476997748
209,18346020,0.037573945800000,488264397
210,18610200,0.038768966700000,480028270
211,18876904,0.040374262400000,467547959
212,19146144,0.040919404300000,467898894
213,19417932,0.043296279300000,448489623
214,19692280,0.042396737600000,464476304
215,19969200,0.042122458400000,474074894
216,20248704,0.045625853900000,443798905
217,20530804,0.042374446000000,484509084
218,20815512,0.042865141800000,485604646
219,21102840,0.044233633500000,477076793
220,21392800,0.044837008400000,477123715
221,21685404,0.045732900100000,474175133
222,21980664,0.047457112400000,463169015
223,22278592,0.048446654000000,459858218
224,22579200,0.048217279200000,468280259
225,22882500,0.048793766700000,468963590
226,23188504,0.048126704200000,481821982
227,23497224,0.049415270900000,475505316
228,23808672,0.049906246000000,477067981
229,24122860,0.050737570700000,475443733
230,24439800,0.052388733500000,466508701
231,24759504,0.051566262500000,480149284
232,25081984,0.055672325000000,450528768
233,25407252,0.052913316500000,480167445
234,25735320,0.055419087800000,464376463
235,26066200,0.054751383300000,476082949
236,26399904,0.056033304200000,471146658
237,26736444,0.057899229300000,461775473
238,27075832,0.058866987500000,459949339
239,27418080,0.057423912500000,477467989
240,27763200,0.057580962500000,482159360
241,28111204,0.057892379300000,485576933
242,28462104,0.062225916500000,457399515
243,28815912,0.059428183400000,484886301
244,29172640,0.062607187500000,465963113
245,29532300,0.064312029100000,459203362
246,29894904,0.066089491900000,452339746
247,30260464,0.064798066800000,466996401
248,30628992,0.066570637600000,460097621
249,31000500,0.065439479200000,473727792
250,31375000,0.065460079200000,479299756
251,31752504,0.065113754100000,487646649
252,32133024,0.067676483400000,474803394
253,32516572,0.067013787300000,485222121
254,32903160,0.068115041800000,483052776
255,33292800,0.067066537600000,496414474
256,33685504,0.074893700000000,449777538
257,34081284,0.070218412600000,485361072
258,34480152,0.071688554100000,480971508
259,34882120,0.070143337500000,497297694
260,35287200,0.074712162600000,472308641
261,35695404,0.073335416400000,486741683
262,36106744,0.071178491700000,507270429
263,36521232,0.073407308500000,497514931
264,36938880,0.073562420900000,502143344
265,37359700,0.073243616500000,510074485
266,37783704,0.073148108400000,516536994
267,38210904,0.073959875100000,516643706
268,38641312,0.074783558500000,516708656
269,39074940,0.075734675100000,515945172
270,39511800,0.075930054100000,520371024
271,39951904,0.076843966600000,519909445
272,40395264,0.077511358400000,521152833
273,40841892,0.080032353900000,510317266
274,41291800,0.079792008400000,517492927
275,41745000,0.080433395900000,519000840
276,42201504,0.082044191500000,514375280
277,42661324,0.082766225100000,515443636
278,43124472,0.086811137400000,496761974
279,43590960,0.084145112500000,518045062
280,44060800,0.086311208500000,510487581
281,44534004,0.085906987800000,518397922
282,45010584,0.086746095700000,518877347
