n,variant,type,opt_level,flops_per_sec
2,kij,float,O0,4.8e+07
2,jki,float,O0,6.06061e+07
2,kij,double,O0,5.22876e+07
2,jki,double,O0,6.06061e+07
3,kij,float,O0,1.14407e+08
3,jki,float,O0,1.05058e+08
3,kij,double,O0,1.14326e+08
3,jki,double,O0,9.71806e+07
4,kij,float,O0,1.29817e+08
4,jki,float,O0,1.2288e+08
4,kij,double,O0,1.35545e+08
4,jki,double,O0,1.13811e+08
5,kij,float,O0,1.57862e+08
5,jki,float,O0,1.36339e+08
5,kij,double,O0,1.01133e+08
5,jki,double,O0,1.34336e+08
6,kij,float,O0,1.6908e+08
6,jki,float,O0,1.59488e+08
6,kij,double,O0,1.76711e+08
6,jki,double,O0,1.64571e+08
7,kij,float,O0,1.81578e+08
7,jki,float,O0,1.7454e+08
7,kij,double,O0,1.82933e+08
7,jki,double,O0,1.13809e+08
8,kij,float,O0,1.72662e+08
8,jki,float,O0,1.79828e+08
8,kij,double,O0,1.91021e+08
8,jki,double,O0,1.79397e+08
9,kij,float,O0,1.80067e+08
9,jki,float,O0,1.84806e+08
9,kij,double,O0,1.80991e+08
9,jki,double,O0,1.57378e+08
10,kij,float,O0,1.63265e+08
10,jki,float,O0,1.7454e+08
10,kij,double,O0,1.63448e+08
10,jki,double,O0,1.38061e+08
11,kij,float,O0,1.89583e+08
11,jki,float,O0,1.79131e+08
11,kij,double,O0,8.15247e+07
11,jki,double,O0,1.75201e+08
12,kij,float,O0,1.90676e+08
12,jki,float,O0,1.81104e+08
12,kij,double,O0,1.88794e+08
12,jki,double,O0,1.80574e+08
13,kij,float,O0,1.9397e+08
13,jki,float,O0,1.80575e+08
13,kij,double,O0,1.93375e+08
13,jki,double,O0,1.80888e+08
14,kij,float,O0,1.95032e+08
14,jki,float,O0,1.85774e+08
14,kij,double,O0,1.94743e+08
14,jki,double,O0,1.83871e+08
15,kij,float,O0,1.99425e+08
15,jki,float,O0,1.86994e+08
15,kij,double,O0,1.41361e+08
15,jki,double,O0,1.85353e+08
16,kij,float,O0,1.69488e+08
16,jki,float,O0,1.63977e+08
16,kij,double,O0,1.78681e+08
16,jki,double,O0,1.81707e+08
17,kij,float,O0,5.6507e+08
17,jki,float,O0,4.59395e+08
17,kij,double,O0,5.5927e+08
17,jki,double,O0,5.11922e+08
18,kij,float,O0,5.06521e+08
18,jki,float,O0,5.184e+08
18,kij,double,O0,5.471e+08
18,jki,double,O0,5.13961e+08
19,kij,float,O0,5.45079e+08
19,jki,float,O0,5.50857e+08
19,kij,double,O0,5.14425e+08
19,jki,double,O0,4.97582e+08
20,kij,float,O0,5.5015e+08
20,jki,float,O0,5.13605e+08
20,kij,double,O0,5.55183e+08
20,jki,double,O0,5.37568e+08
21,kij,float,O0,5.2236e+08
21,jki,float,O0,5.32798e+08
21,kij,double,O0,5.64598e+08
21,jki,double,O0,5.62933e+08
22,kij,float,O0,5.83234e+08
22,jki,float,O0,5.43922e+08
22,kij,double,O0,5.82123e+08
22,jki,double,O0,5.49773e+08
23,kij,float,O0,5.82464e+08
23,jki,float,O0,5.48718e+08
23,kij,double,O0,6.02491e+08
23,jki,double,O0,5.56028e+08
24,kij,float,O0,5.74671e+08
24,jki,float,O0,5.61377e+08
24,kij,double,O0,5.93339e+08
24,jki,double,O0,5.686e+08
25,kij,float,O0,5.98086e+08
25,jki,float,O0,5.64473e+08
25,kij,double,O0,2.56761e+08
25,jki,double,O0,5.43876e+08
26,kij,float,O0,5.97627e+08
26,jki,float,O0,5.67602e+08
26,kij,double,O0,6.00601e+08
26,jki,double,O0,5.64063e+08
27,kij,float,O0,3.62125e+08
27,jki,float,O0,3.78318e+08
27,kij,double,O0,2.63808e+08
27,jki,double,O0,2.69503e+08
28,kij,float,O0,3.0864e+08
28,jki,float,O0,2.89504e+08
28,kij,double,O0,3.0997e+08
28,jki,double,O0,2.91937e+08
29,kij,float,O0,3.05739e+08
29,jki,float,O0,2.91914e+08
29,kij,double,O0,3.09619e+08
29,jki,double,O0,2.95748e+08
30,kij,float,O0,3.11538e+08
30,jki,float,O0,2.93213e+08
30,kij,double,O0,3.47952e+08
30,jki,double,O0,3.67313e+08
31,kij,float,O0,5.72751e+08
31,jki,float,O0,5.35968e+08
31,kij,double,O0,5.16232e+08
31,jki,double,O0,5.35769e+08
32,kij,float,O0,5.69192e+08
32,jki,float,O0,5.38345e+08
32,kij,double,O0,5.70568e+08
32,jki,double,O0,5.35292e+08
33,kij,float,O0,5.74291e+08
33,jki,float,O0,3.86622e+08
33,kij,double,O0,4.71005e+08
33,jki,double,O0,5.02957e+08
34,kij,float,O0,5.36318e+08
34,jki,float,O0,5.08378e+08
34,kij,double,O0,5.53687e+08
34,jki,double,O0,3.93149e+08
35,kij,float,O0,4.99515e+08
35,jki,float,O0,4.89262e+08
35,kij,double,O0,5.65697e+08
35,jki,double,O0,5.27421e+08
36,kij,float,O0,5.20528e+08
36,jki,float,O0,4.92483e+08
36,kij,double,O0,5.3224e+08
36,jki,double,O0,5.04503e+08
37,kij,float,O0,5.30667e+08
37,jki,float,O0,4.745e+08
37,kij,double,O0,5.0007e+08
37,jki,double,O0,5.06812e+08
38,kij,float,O0,5.37521e+08
38,jki,float,O0,4.93416e+08
38,kij,double,O0,4.55816e+08
38,jki,double,O0,4.7078e+08
39,kij,float,O0,5.16035e+08
39,jki,float,O0,4.7747e+08
39,kij,double,O0,4.93383e+08
39,jki,double,O0,4.80343e+08
40,kij,float,O0,4.9236e+08
40,jki,float,O0,4.46728e+08
40,kij,double,O0,4.87129e+08
40,jki,double,O0,4.83653e+08
41,kij,float,O0,5.19587e+08
41,jki,float,O0,4.81475e+08
41,kij,double,O0,5.09923e+08
41,jki,double,O0,4.84696e+08
42,kij,float,O0,4.86177e+08
42,jki,float,O0,4.84192e+08
42,kij,double,O0,5.21008e+08
42,jki,double,O0,4.90784e+08
43,kij,float,O0,5.47354e+08
43,jki,float,O0,5.01951e+08
43,kij,double,O0,5.51441e+08
43,jki,double,O0,5.18125e+08
44,kij,float,O0,5.4982e+08
44,jki,float,O0,5.10127e+08
44,kij,double,O0,5.5991e+08
44,jki,double,O0,5.43367e+08
45,kij,float,O0,5.71391e+08
45,jki,float,O0,5.33176e+08
45,kij,double,O0,5.7674e+08
45,jki,double,O0,5.4376e+08
46,kij,float,O0,5.77995e+08
46,jki,float,O0,5.50958e+08
46,kij,double,O0,6.0593e+08
46,jki,double,O0,5.66685e+08
47,kij,float,O0,5.99988e+08
47,jki,float,O0,5.63066e+08
47,kij,double,O0,6.06094e+08
47,jki,double,O0,5.70065e+08
48,kij,float,O0,6.01543e+08
48,jki,float,O0,5.68718e+08
48,kij,double,O0,6.2452e+08
48,jki,double,O0,5.94714e+08
49,kij,float,O0,6.30169e+08
49,jki,float,O0,5.73607e+08
49,kij,double,O0,6.32356e+08
49,jki,double,O0,5.95251e+08
50,kij,float,O0,6.4996e+08
50,jki,float,O0,6.1019e+08
50,kij,double,O0,6.52245e+08
50,jki,double,O0,6.14754e+08
51,kij,float,O0,6.45787e+08
51,jki,float,O0,6.12687e+08
51,kij,double,O0,6.70307e+08
51,jki,double,O0,6.21721e+08
52,kij,float,O0,6.6067e+08
52,jki,float,O0,6.25002e+08
52,kij,double,O0,6.81345e+08
52,jki,double,O0,6.42758e+08
53,kij,float,O0,6.83248e+08
53,jki,float,O0,6.29169e+08
53,kij,double,O0,6.81273e+08
53,jki,double,O0,6.42019e+08
54,kij,float,O0,6.76254e+08
54,jki,float,O0,6.3396e+08
54,kij,double,O0,6.85102e+08
54,jki,double,O0,6.37613e+08
55,kij,float,O0,6.88963e+08
55,jki,float,O0,6.33659e+08
55,kij,double,O0,6.91668e+08
55,jki,double,O0,6.44882e+08
56,kij,float,O0,6.8136e+08
56,jki,float,O0,6.14564e+08
56,kij,double,O0,6.69066e+08
56,jki,double,O0,6.44446e+08
57,kij,float,O0,6.82162e+08
57,jki,float,O0,6.41886e+08
57,kij,double,O0,6.81536e+08
57,jki,double,O0,6.44882e+08
58,kij,float,O0,6.82409e+08
58,jki,float,O0,6.39391e+08
58,kij,double,O0,6.82061e+08
58,jki,double,O0,6.4123e+08
59,kij,float,O0,6.91286e+08
59,jki,float,O0,6.36122e+08
59,kij,double,O0,6.827e+08
59,jki,double,O0,6.42995e+08
60,kij,float,O0,6.78682e+08
60,jki,float,O0,6.42618e+08
60,kij,double,O0,6.76233e+08
60,jki,double,O0,6.42884e+08
61,kij,float,O0,6.82564e+08
61,jki,float,O0,6.3801e+08
61,kij,double,O0,6.77485e+08
61,jki,double,O0,6.43082e+08
62,kij,float,O0,5.90073e+08
62,jki,float,O0,6.3839e+08
62,kij,double,O0,6.87058e+08
62,jki,double,O0,6.48218e+08
63,kij,float,O0,6.95931e+08
63,jki,float,O0,6.43185e+08
63,kij,double,O0,6.89283e+08
63,jki,double,O0,6.43266e+08
64,kij,float,O0,6.8679e+08
64,jki,float,O0,6.43528e+08
64,kij,double,O0,6.76416e+08
64,jki,double,O0,6.44925e+08
65,kij,float,O0,6.88175e+08
65,jki,float,O0,6.22497e+08
65,kij,double,O0,6.88331e+08
65,jki,double,O0,6.24374e+08
66,kij,float,O0,6.88808e+08
66,jki,float,O0,6.2083e+08
66,kij,double,O0,6.82213e+08
66,jki,double,O0,6.24153e+08
67,kij,float,O0,6.93869e+08
67,jki,float,O0,6.18597e+08
67,kij,double,O0,6.88978e+08
67,jki,double,O0,6.22268e+08
68,kij,float,O0,6.87095e+08
68,jki,float,O0,6.17492e+08
68,kij,double,O0,6.82816e+08
68,jki,double,O0,5.72982e+08
69,kij,float,O0,6.92398e+08
69,jki,float,O0,6.21506e+08
69,kij,double,O0,6.9494e+08
69,jki,double,O0,6.24583e+08
70,kij,float,O0,6.89977e+08
70,jki,float,O0,6.2478e+08
70,kij,double,O0,6.89419e+08
70,jki,double,O0,5.88968e+08
71,kij,float,O0,6.97786e+08
71,jki,float,O0,6.24521e+08
71,kij,double,O0,6.98761e+08
71,jki,double,O0,6.27899e+08
72,kij,float,O0,6.91743e+08
72,jki,float,O0,6.26007e+08
72,kij,double,O0,6.92982e+08
72,jki,double,O0,6.29645e+08
73,kij,float,O0,6.86922e+08
73,jki,float,O0,6.19838e+08
73,kij,double,O0,6.87368e+08
73,jki,double,O0,6.23334e+08
74,kij,float,O0,6.69792e+08
74,jki,float,O0,6.26756e+08
74,kij,double,O0,6.88571e+08
74,jki,double,O0,6.31682e+08
75,kij,float,O0,6.90529e+08
75,jki,float,O0,6.25921e+08
75,kij,double,O0,6.75555e+08
75,jki,double,O0,6.30527e+08
76,kij,float,O0,6.88402e+08
76,jki,float,O0,6.27015e+08
76,kij,double,O0,6.8037e+08
76,jki,double,O0,6.33031e+08
77,kij,float,O0,6.85306e+08
77,jki,float,O0,6.28701e+08
77,kij,double,O0,6.76018e+08
77,jki,double,O0,6.33176e+08
78,kij,float,O0,6.82025e+08
78,jki,float,O0,6.32063e+08
78,kij,double,O0,6.73117e+08
78,jki,double,O0,6.27835e+08
79,kij,float,O0,6.78637e+08
79,jki,float,O0,6.30742e+08
79,kij,double,O0,6.77452e+08
79,jki,double,O0,6.24798e+08
80,kij,float,O0,6.79934e+08
80,jki,float,O0,6.31141e+08
80,kij,double,O0,6.7746e+08
80,jki,double,O0,6.26987e+08
81,kij,float,O0,6.69093e+08
81,jki,float,O0,6.29954e+08
81,kij,double,O0,6.68614e+08
81,jki,double,O0,6.2746e+08
82,kij,float,O0,6.74135e+08
82,jki,float,O0,6.12461e+08
82,kij,double,O0,6.64371e+08
82,jki,double,O0,6.22438e+08
83,kij,float,O0,6.80204e+08
83,jki,float,O0,6.33281e+08
83,kij,double,O0,6.67456e+08
83,jki,double,O0,6.2989e+08
84,kij,float,O0,6.76002e+08
84,jki,float,O0,6.22338e+08
84,kij,double,O0,6.71223e+08
84,jki,double,O0,6.26234e+08
85,kij,float,O0,6.73111e+08
85,jki,float,O0,6.24856e+08
85,kij,double,O0,6.67603e+08
85,jki,double,O0,6.25546e+08
86,kij,float,O0,6.65572e+08
86,jki,float,O0,6.30248e+08
86,kij,double,O0,6.6941e+08
86,jki,double,O0,6.31343e+08
87,kij,float,O0,6.74336e+08
87,jki,float,O0,6.17347e+08
87,kij,double,O0,6.67017e+08
87,jki,double,O0,6.29602e+08
88,kij,float,O0,6.75407e+08
88,jki,float,O0,6.24436e+08
88,kij,double,O0,6.66363e+08
88,jki,double,O0,6.10459e+08
89,kij,float,O0,6.47718e+08
89,jki,float,O0,5.8041e+08
89,kij,double,O0,6.40958e+08
89,jki,double,O0,5.98739e+08
90,kij,float,O0,6.39965e+08
90,jki,float,O0,5.91681e+08
90,kij,double,O0,6.51155e+08
90,jki,double,O0,6.21885e+08
91,kij,float,O0,6.84568e+08
91,jki,float,O0,6.38131e+08
91,kij,double,O0,6.56687e+08
91,jki,double,O0,6.20429e+08
92,kij,float,O0,6.75814e+08
92,jki,float,O0,6.40255e+08
92,kij,double,O0,6.81548e+08
92,jki,double,O0,6.40603e+08
93,kij,float,O0,6.81963e+08
93,jki,float,O0,6.31288e+08
93,kij,double,O0,6.71483e+08
93,jki,double,O0,6.30494e+08
94,kij,float,O0,6.6682e+08
94,jki,float,O0,6.31053e+08
94,kij,double,O0,6.68545e+08
94,jki,double,O0,6.32204e+08
95,kij,float,O0,6.70774e+08
95,jki,float,O0,6.3358e+08
95,kij,double,O0,6.75187e+08
95,jki,double,O0,6.35573e+08
96,kij,float,O0,6.82769e+08
96,jki,float,O0,6.31688e+08
96,kij,double,O0,6.78117e+08
96,jki,double,O0,6.33242e+08
97,kij,float,O0,6.80236e+08
97,jki,float,O0,6.29755e+08
97,kij,double,O0,6.6763e+08
97,jki,double,O0,6.41824e+08
98,kij,float,O0,6.85927e+08
98,jki,float,O0,6.41555e+08
98,kij,double,O0,6.80787e+08
98,jki,double,O0,6.43749e+08
99,kij,float,O0,6.86367e+08
99,jki,float,O0,6.39038e+08
99,kij,double,O0,6.76746e+08
99,jki,double,O0,6.41326e+08
100,kij,float,O0,6.90429e+08
100,jki,float,O0,6.41797e+08
100,kij,double,O0,6.78237e+08
100,jki,double,O0,6.42327e+08
101,kij,float,O0,6.90849e+08
101,jki,float,O0,6.4417e+08
101,kij,double,O0,6.82469e+08
101,jki,double,O0,6.25375e+08
102,kij,float,O0,6.83389e+08
102,jki,float,O0,6.4248e+08
102,kij,double,O0,6.86252e+08
102,jki,double,O0,6.46413e+08
103,kij,float,O0,6.87538e+08
103,jki,float,O0,6.35969e+08
103,kij,double,O0,6.85128e+08
103,jki,double,O0,6.46143e+08
104,kij,float,O0,6.94724e+08
104,jki,float,O0,6.39677e+08
104,kij,double,O0,6.8873e+08
104,jki,double,O0,6.47336e+08
105,kij,float,O0,6.87803e+08
105,jki,float,O0,6.40927e+08
105,kij,double,O0,6.85129e+08
105,jki,double,O0,6.44443e+08
106,kij,float,O0,6.86368e+08
106,jki,float,O0,6.47057e+08
106,kij,double,O0,6.81839e+08
106,jki,double,O0,6.3836e+08
107,kij,float,O0,6.9259e+08
107,jki,float,O0,6.41977e+08
107,kij,double,O0,6.83279e+08
107,jki,double,O0,6.42669e+08
108,kij,float,O0,6.96056e+08
108,jki,float,O0,6.46646e+08
108,kij,double,O0,6.78092e+08
108,jki,double,O0,6.31208e+08
109,kij,float,O0,6.82308e+08
109,jki,float,O0,6.44982e+08
109,kij,double,O0,6.73337e+08
109,jki,double,O0,6.44895e+08
110,kij,float,O0,6.90716e+08
110,jki,float,O0,6.47214e+08
110,kij,double,O0,6.47068e+08
110,jki,double,O0,6.14182e+08
111,kij,float,O0,6.75675e+08
111,jki,float,O0,6.44554e+08
111,kij,double,O0,6.74081e+08
111,jki,double,O0,6.47676e+08
112,kij,float,O0,6.97035e+08
112,jki,float,O0,6.07713e+08
112,kij,double,O0,6.35592e+08
112,jki,double,O0,5.80397e+08
113,kij,float,O0,6.49024e+08
113,jki,float,O0,6.46395e+08
113,kij,double,O0,6.83179e+08
113,jki,double,O0,6.43082e+08
114,kij,float,O0,6.96598e+08
114,jki,float,O0,6.42756e+08
114,kij,double,O0,6.85004e+08
114,jki,double,O0,6.49136e+08
115,kij,float,O0,6.89162e+08
115,jki,float,O0,6.49592e+08
115,kij,double,O0,6.77349e+08
115,jki,double,O0,6.44539e+08
116,kij,float,O0,6.97778e+08
116,jki,float,O0,6.49466e+08
116,kij,double,O0,6.8862e+08
116,jki,double,O0,6.47856e+08
117,kij,float,O0,6.78773e+08
117,jki,float,O0,6.28381e+08
117,kij,double,O0,6.707e+08
117,jki,double,O0,6.30269e+08
118,kij,float,O0,6.89631e+08
118,jki,float,O0,6.19129e+08
118,kij,double,O0,6.42153e+08
118,jki,double,O0,6.13993e+08
119,kij,float,O0,6.58242e+08
119,jki,float,O0,6.17614e+08
119,kij,double,O0,6.4196e+08
119,jki,double,O0,6.05652e+08
120,kij,float,O0,6.59859e+08
120,jki,float,O0,6.17346e+08
120,kij,double,O0,6.44751e+08
120,jki,double,O0,6.1278e+08
121,kij,float,O0,6.54556e+08
121,jki,float,O0,6.1649e+08
121,kij,double,O0,6.50417e+08
121,jki,double,O0,6.10734e+08
122,kij,float,O0,6.49127e+08
122,jki,float,O0,6.2187e+08
122,kij,double,O0,6.44222e+08
122,jki,double,O0,6.22406e+08
123,kij,float,O0,6.56509e+08
123,jki,float,O0,5.99577e+08
123,kij,double,O0,6.32356e+08
123,jki,double,O0,6.01459e+08
124,kij,float,O0,6.62021e+08
124,jki,float,O0,6.16374e+08
124,kij,double,O0,6.89879e+08
124,jki,double,O0,6.46411e+08
125,kij,float,O0,6.4708e+08
125,jki,float,O0,6.07875e+08
125,kij,double,O0,6.40592e+08
125,jki,double,O0,6.21121e+08
126,kij,float,O0,6.59989e+08
126,jki,float,O0,6.25933e+08
126,kij,double,O0,6.4798e+08
126,jki,double,O0,6.16736e+08
127,kij,float,O0,6.62058e+08
127,jki,float,O0,6.18176e+08
127,kij,double,O0,6.46125e+08
127,jki,double,O0,6.16356e+08
128,kij,float,O0,6.61445e+08
128,jki,float,O0,6.1666e+08
128,kij,double,O0,6.51985e+08
128,jki,double,O0,5.93521e+08
129,kij,float,O0,6.65978e+08
129,jki,float,O0,6.17088e+08
129,kij,double,O0,6.22926e+08
129,jki,double,O0,6.10616e+08
130,kij,float,O0,6.45766e+08
130,jki,float,O0,6.0423e+08
130,kij,double,O0,6.70777e+08
130,jki,double,O0,6.52265e+08
131,kij,float,O0,6.98261e+08
131,jki,float,O0,6.20297e+08
131,kij,double,O0,6.48501e+08
131,jki,double,O0,5.88533e+08
132,kij,float,O0,6.39381e+08
132,jki,float,O0,6.00809e+08
132,kij,double,O0,6.15229e+08
132,jki,double,O0,5.93906e+08
133,kij,float,O0,6.31732e+08
133,jki,float,O0,5.83561e+08
133,kij,double,O0,6.24995e+08
133,jki,double,O0,5.95255e+08
134,kij,float,O0,6.33267e+08
134,jki,float,O0,6.09842e+08
134,kij,double,O0,6.32469e+08
134,jki,double,O0,6.07508e+08
135,kij,float,O0,6.64794e+08
135,jki,float,O0,5.9377e+08
135,kij,double,O0,6.19843e+08
135,jki,double,O0,6.14621e+08
136,kij,float,O0,6.66855e+08
136,jki,float,O0,6.5334e+08
136,kij,double,O0,6.47263e+08
136,jki,double,O0,6.23227e+08
137,kij,float,O0,6.64244e+08
137,jki,float,O0,6.1131e+08
137,kij,double,O0,6.24876e+08
137,jki,double,O0,5.99156e+08
138,kij,float,O0,6.39365e+08
138,jki,float,O0,6.08122e+08
138,kij,double,O0,6.26881e+08
138,jki,double,O0,6.09609e+08
139,kij,float,O0,6.7359e+08
139,jki,float,O0,6.19644e+08
139,kij,double,O0,6.45118e+08
139,jki,double,O0,5.97553e+08
140,kij,float,O0,6.3711e+08
140,jki,float,O0,6.18267e+08
140,kij,double,O0,6.18104e+08
140,jki,double,O0,6.07254e+08
141,kij,float,O0,6.59435e+08
141,jki,float,O0,6.11201e+08
141,kij,double,O0,6.16708e+08
141,jki,double,O0,6.28056e+08
142,kij,float,O0,6.58272e+08
142,jki,float,O0,6.04982e+08
142,kij,double,O0,6.21271e+08
142,jki,double,O0,6.09393e+08
143,kij,float,O0,6.44863e+08
143,jki,float,O0,6.04035e+08
143,kij,double,O0,6.16131e+08
143,jki,double,O0,5.95714e+08
144,kij,float,O0,6.425e+08
144,jki,float,O0,6.06073e+08
144,kij,double,O0,6.28263e+08
144,jki,double,O0,5.96398e+08
145,kij,float,O0,6.44107e+08
145,jki,float,O0,6.25006e+08
145,kij,double,O0,6.09897e+08
145,jki,double,O0,6.06766e+08
146,kij,float,O0,6.54393e+08
146,jki,float,O0,6.12012e+08
146,kij,double,O0,6.00446e+08
146,jki,double,O0,6.06103e+08
147,kij,float,O0,6.43249e+08
147,jki,float,O0,5.98874e+08
147,kij,double,O0,6.04322e+08
147,jki,double,O0,5.97115e+08
148,kij,float,O0,6.42107e+08
148,jki,float,O0,6.10232e+08
148,kij,double,O0,6.03886e+08
148,jki,double,O0,5.97656e+08
149,kij,float,O0,6.42979e+08
149,jki,float,O0,6.27215e+08
149,kij,double,O0,6.25901e+08
149,jki,double,O0,6.27254e+08
150,kij,float,O0,6.44373e+08
150,jki,float,O0,6.08435e+08
150,kij,double,O0,6.19014e+08
150,jki,double,O0,6.2002e+08
151,kij,float,O0,6.50269e+08
151,jki,float,O0,6.26819e+08
151,kij,double,O0,6.13982e+08
151,jki,double,O0,6.36322e+08
152,kij,float,O0,6.72362e+08
152,jki,float,O0,6.32714e+08
152,kij,double,O0,6.35133e+08
152,jki,double,O0,6.29238e+08
153,kij,float,O0,6.50107e+08
153,jki,float,O0,6.21619e+08
153,kij,double,O0,6.05523e+08
153,jki,double,O0,6.1363e+08
154,kij,float,O0,6.66475e+08
154,jki,float,O0,5.97911e+08
154,kij,double,O0,6.17027e+08
154,jki,double,O0,6.13208e+08
155,kij,float,O0,6.54959e+08
155,jki,float,O0,6.1018e+08
155,kij,double,O0,6.11598e+08
155,jki,double,O0,6.23712e+08
156,kij,float,O0,6.62214e+08
156,jki,float,O0,6.19547e+08
156,kij,double,O0,6.1462e+08
156,jki,double,O0,6.24213e+08
157,kij,float,O0,6.51641e+08
157,jki,float,O0,6.10415e+08
157,kij,double,O0,6.03246e+08
157,jki,double,O0,6.1013e+08
158,kij,float,O0,6.4628e+08
158,jki,float,O0,6.1108e+08
158,kij,double,O0,6.10886e+08
158,jki,double,O0,6.06236e+08
159,kij,float,O0,6.41846e+08
159,jki,float,O0,6.03609e+08
159,kij,double,O0,6.05579e+08
159,jki,double,O0,6.10211e+08
160,kij,float,O0,6.77665e+08
160,jki,float,O0,6.04093e+08
160,kij,double,O0,6.20083e+08
160,jki,double,O0,6.04703e+08
161,kij,float,O0,6.4389e+08
161,jki,float,O0,6.02887e+08
161,kij,double,O0,6.15097e+08
161,jki,double,O0,6.05027e+08
162,kij,float,O0,6.40428e+08
162,jki,float,O0,6.08239e+08
162,kij,double,O0,6.13375e+08
162,jki,double,O0,6.08483e+08
163,kij,float,O0,6.67806e+08
163,jki,float,O0,6.12833e+08
163,kij,double,O0,6.05431e+08
163,jki,double,O0,5.95422e+08
164,kij,float,O0,6.55647e+08
164,jki,float,O0,6.00929e+08
164,kij,double,O0,6.21365e+08
164,jki,double,O0,6.03705e+08
165,kij,float,O0,6.38804e+08
165,jki,float,O0,6.02378e+08
165,kij,double,O0,6.3096e+08
165,jki,double,O0,6.10932e+08
166,kij,float,O0,6.59287e+08
