n,avg_time_s,GFLOPS_s
2,0.000000,0.021
3,0.000003,0.008
4,0.000001,0.096
5,0.000005,0.019
6,0.000004,0.035
7,0.000004,0.053
8,0.000001,0.400
9,0.000009,0.054
10,0.000010,0.064
11,0.000009,0.095
12,0.000025,0.043
13,0.000009,0.151
14,0.000009,0.184
15,0.000009,0.222
16,0.000003,0.860
17,0.000026,0.109
18,0.000025,0.131
19,0.000027,0.144
20,0.000025,0.178
21,0.000026,0.202
22,0.000025,0.230
23,0.000026,0.259
24,0.000034,0.220
25,0.000026,0.320
26,0.000026,0.362
27,0.000031,0.337
28,0.000027,0.431
29,0.000034,0.379
30,0.000032,0.437
31,0.000020,0.782
32,0.000008,2.018
33,0.000062,0.293
34,0.000062,0.320
35,0.000044,0.489
36,0.000050,0.464
37,0.000045,0.558
38,0.000059,0.458
39,0.000063,0.465
40,0.000064,0.495
41,0.000071,0.472
42,0.000063,0.575
43,0.000066,0.585
44,0.000104,0.395
45,0.000082,0.531
46,0.000066,0.704
47,0.000065,0.759
48,0.000073,0.715
49,0.000068,0.823
50,0.000065,0.902
51,0.000063,0.985
52,0.000064,1.029
53,0.000067,1.031
54,0.000090,0.814
55,0.000088,0.877
56,0.000078,1.037
57,0.000078,1.095
58,0.000078,1.144
59,0.000080,1.173
60,0.000079,1.241
61,0.000078,1.314
62,0.000070,1.530
63,0.000071,1.592
64,0.000053,2.220
65,0.000647,0.190
66,0.000588,0.218
67,0.000570,0.235
68,0.000533,0.262
69,0.000493,0.295
70,0.000497,0.304
71,0.000474,0.332
72,0.000463,0.354
73,0.000454,0.375
74,0.000438,0.404
75,0.000436,0.421
76,0.000433,0.440
77,0.000414,0.478
78,0.000419,0.489
79,0.000409,0.519
80,0.000407,0.541
81,0.000402,0.567
82,0.000424,0.557
83,0.000391,0.624
84,0.000391,0.645
85,0.000406,0.642
86,0.000402,0.672
87,0.000401,0.694
88,0.000402,0.716
89,0.000400,0.742
90,0.000398,0.771
91,0.000401,0.788
92,0.000402,0.811
93,0.000399,0.841
94,0.000400,0.865
95,0.000390,0.913
96,0.000401,0.915
97,0.000394,0.960
98,0.000396,0.982
99,0.000405,0.988
100,0.000401,1.027
101,0.000399,1.060
102,0.000405,1.075
103,0.000423,1.059
104,0.000415,1.107
105,0.000424,1.113
106,0.000412,1.179
107,0.000438,1.137
108,0.000408,1.252
109,0.000418,1.256
110,0.000428,1.258
111,0.000411,1.342
112,0.000420,1.348
113,0.000425,1.366
114,0.000418,1.422
115,0.000417,1.463
116,0.000430,1.454
117,0.000440,1.455
118,0.000428,1.532
119,0.000414,1.620
120,0.000416,1.650
121,0.000415,1.696
122,0.000416,1.730
123,0.000417,1.768
124,0.000418,1.802
125,0.000416,1.850
126,0.000415,1.898
127,0.000416,1.939
128,0.000379,2.172
129,0.003158,0.267
130,0.003142,0.274
131,0.003062,0.287
132,0.003050,0.294
133,0.003086,0.297
134,0.003064,0.306
135,0.003065,0.312
136,0.003049,0.320
137,0.003049,0.327
138,0.003159,0.322
139,0.003256,0.319
140,0.003212,0.330
141,0.003213,0.336
142,0.003237,0.340
143,0.003255,0.345
144,0.003255,0.352
145,0.003192,0.366
146,0.003211,0.371
147,0.003237,0.375
148,0.003162,0.391
149,0.003167,0.398
150,0.003134,0.410
151,0.003152,0.416
152,0.003130,0.426
153,0.003094,0.439
154,0.003102,0.446
155,0.003145,0.448
156,0.003121,0.460
157,0.003103,0.471
158,0.003061,0.486
159,0.003060,0.495
160,0.003038,0.507
161,0.003057,0.513
162,0.003062,0.521
163,0.003041,0.534
164,0.003025,0.546
165,0.003033,0.554
166,0.003107,0.550
167,0.003095,0.561
168,0.003067,0.576
169,0.003034,0.592
170,0.003128,0.584
171,0.003083,0.602
172,0.003109,0.607
173,0.003094,0.620
174,0.003051,0.639
175,0.003053,0.649
176,0.003037,0.663
177,0.003034,0.674
178,0.003041,0.683
179,0.003029,0.697
180,0.003061,0.701
181,0.003092,0.704
182,0.003065,0.722
183,0.003050,0.736
184,0.003073,0.742
185,0.003075,0.753
186,0.003060,0.768
187,0.003057,0.781
188,0.003052,0.794
189,0.003055,0.805
190,0.003053,0.818
191,0.003041,0.833
192,0.003028,0.849
193,0.003037,0.859
194,0.003040,0.871
195,0.003042,0.883
196,0.003042,0.895
197,0.003054,0.905
198,0.003098,0.905
199,0.003139,0.906
200,0.003086,0.934
201,0.003086,0.947
202,0.003125,0.949
203,0.003091,0.972
204,0.003087,0.987
205,0.003066,1.008
206,0.003063,1.023
207,0.003042,1.044
208,0.003049,1.056
209,0.003052,1.069
210,0.003054,1.083
211,0.003044,1.100
212,0.003059,1.110
213,0.003063,1.123
214,0.003056,1.141
215,0.003056,1.156
