procs,bytes,my_bw,mpi_bw
4,8,318877.55,143926.31
4,16,6314127.86,5136436.60
4,32,4790419.16,10478061.56
4,64,24960998.44,10562799.14
4,128,3384721.16,4705709.35
4,256,24046590.27,24436807.94
4,512,65048913.73,45321766.84
4,1024,43343915.34,47204167.24
4,2048,101230784.44,148395043.84
4,4096,199990234.85,208777205.77
4,8192,246301864.10,17085817.02
4,16384,288374548.97,30754040.88
4,32768,448140043.76,114536982.99
4,65536,444637429.44,195943360.12
4,131072,469269022.70,149536804.64
4,262144,134925679.80,4944247453.79
4,524288,356747326.21,3248920203.50
4,1048576,332875457.73,1366336736.87
4,2097152,463936783.52,1896217424.41
4,4194304,621475320.52,2605246763.09
4,8388608,1035680227.65,3246890557.37
4,16777216,1342373051.69,3892388005.09
4,33554432,1673314341.02,3902298423.48
4,67108864,1872526787.90,4483129925.66
4,134217728,2008966470.59,4442277040.80
4,268435456,2062311566.19,4639049934.69
