procs,bytes,my_bw,mpi_bw
1,8,3840614.50,8492569.00
1,16,266666666.67,320000000.00
1,32,640000000.00,1066666666.67
1,64,2133333333.33,2133333333.33
1,128,4266666666.67,4266666666.67
1,256,2844444444.44,8533333333.33
1,512,1969230769.23,17066666666.67
1,1024,34133333333.33,34133333333.34
1,2048,68266666666.67,68266666666.67
1,4096,136533333333.34,136533333333.34
1,8192,273066666666.62,273066666666.68
1,16384,546133333333.37,546133333333.37
1,32768,1092266666666.74,1092266666666.74
1,65536,1638400000000.29,2184533333333.48
1,131072,4369066666666.96,4369066666666.96
1,262144,8738133333329.96,3744914285714.77
1,524288,10485760000005.43,6553600000003.39
1,1048576,17476266666644.14,14979657142853.30
1,2097152,41943040000067.19,52428800000027.15
1,4194304,69905066666576.54,104857600000622.73
1,8388608,139810133333153.09,279620266668327.28
1,16777216,335544320001992.73,559240533336654.55
1,33554432,279620266666306.18,818400780485739.84
1,67108864,610080581812183.87,2236962133346618.22
1,134217728,1118481066640971.52,4473924266434535.72
1,268435456,1220161163624367.73,1491308088869000.95
