procs,bytes,my_bw,mpi_bw
4,8,21529.80,443778.78
4,16,19975031.21,18583042.97
4,32,3728300.13,45649072.75
4,64,103059581.32,26294165.98
4,128,4498646.89,8203550.60
4,256,35111781.65,43470877.91
4,512,103917190.99,58561134.62
4,1024,57025115.55,83394413.23
4,2048,165977793.99,249391134.92
4,4096,307738542.45,310068130.20
4,8192,372651594.41,20407959.90
4,16384,501515197.89,60295589.71
4,32768,652294217.18,64393150.37
4,65536,668959955.90,229847647.37
4,131072,604280195.11,163673666.64
4,262144,147246845.06,5876745802.23
4,524288,421603513.15,6112791334.86
4,1048576,403918631.99,3800221074.57
4,2097152,621002824.66,6244423005.92
4,4194304,881088369.87,6991905047.68
4,8388608,1319044614.22,7761537835.22
4,16777216,1761470540.71,7522915967.91
4,33554432,2110043574.98,6974271144.63
4,67108864,2319451893.63,6877917309.66
4,134217728,2483216919.70,6832796123.52
4,268435456,2567349579.76,6886523038.17
