Bytes,H2D_GBps,D2H_GBps
1,0.000032,0.000078
2,0.000132,0.000229
4,0.000292,0.000464
8,0.000599,0.000882
16,0.001235,0.001812
32,0.002407,0.003696
64,0.004801,0.007192
128,0.009479,0.014724
256,0.018488,0.030043
512,0.039111,0.058208
1024,0.075640,0.113749
2048,0.151666,0.244281
4096,0.307240,0.444811
8192,0.603591,0.899693
16384,1.121970,1.644266
32768,2.059772,2.970948
65536,3.474223,4.732875
131072,5.211335,6.645814
262144,7.077361,8.640311
524288,8.830318,10.213380
1048576,9.950302,11.081183
2097152,10.574351,11.645708
4194304,10.952921,11.911623
8388608,11.142377,11.934332
16777216,11.260580,12.169307
33554432,11.231569,12.217874
67108864,11.333239,12.241000
134217728,11.345814,12.255901
268435456,11.365984,12.263847
536870912,11.371295,12.264858
1073741824,11.378478,12.269313
2147483648,11.379902,12.255796
